date_time_respond,age,nationality,country workplace,working abroad,continent,gender,marital status,qualification,institution,years of service,professional position,proportion coauthored,benefits_qualityofpaper,benefits_increaseinpublication,benefits_divisionlabour,benefits_mutualgain_expertise,benefits_knowcolleague,benefits_junior,benefits_mentorbysenior,benefits_international,benefits_sharing_researchcosts,benefits_multidisciplinary,benefits_largeinternational_crosscountry,benefits_furthernetworks,relationship_mentor_writepaper,relationship_mentor_collectdata,relationship_mentor_analyzing,relationship_mentor_designing,relationship_mentor_revising,relationship_mentor_reviewing,relationship_mentor_originalidea,relationship_colleague_writepaper,relationship_colleague_collectdata,relationship_colleague_analyzing,relationship_colleague_designing,relationship_colleague_revising,relationship_colleague_reviewing,relationship_colleague_originalidea,authororder_significantcontribution,authororder_alphabet_equalcontribution,authororder_alphabet_nosignificant,preference_nationality,preference_gender,preference_ethnicity,preference_higherrank,preference_equalacademicrank,preference_juniors,preference_department,preference_friends
11/06/2015 00:51,35 - 45,Italy,Austria,Yes,Europe,Female,Other,Masters,University,1 - 5 years,Assistant Professor,About two-third,4,4,3,3,2,1,1,3,2,2,3,3,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,In almost all my papers,In about one-third of my papers,In about two-third of my papers,Never,Never,Never,Most of the time,Most of the time,Never,Sometimes,Sometimes
11/06/2015 00:54,46 - 55,Australia,Canada,Yes,North America,Male,Married,Masters,University,1 - 5 years,Professor,About two-third,4,1,4,3,1,2,1,1,1,2,1,2,Very Important,Slightly Important,Very Important,Very Important,Important,Slightly Important,Very Important,Very Important,Not Important,Slightly Important,Very Important,Important,Important,Very Important,In very few of my papers,In almost all my papers,In almost all my papers,Never,Never,Never,Never,Never,Sometimes,Never,Most of the time
11/06/2015 01:00,35 - 45,USA,USA,No,North America,Male,Married,Masters,University,6 - 10 years,Associate Professor,About two-third,3,2,4,4,3,4,4,2,4,2,2,4,Very Important,Slightly Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Slightly Important,Important,Very Important,Very Important,Important,Very Important,In very few of my papers,In none of my papers,In almost all my papers,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes
11/06/2015 01:26,35 - 45,Italy,Italy,No,Europe,Male,Married,Masters,University,6 - 10 years,Associate Professor,Almost all papers,4,3,2,4,1,3,3,4,2,3,2,3,Slightly Important,Slightly Important,Slightly Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,In very few of my papers,In none of my papers,In almost all my papers,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never
11/06/2015 01:41,56 and above,USA,USA,No,North America,Male,Married,Masters,University,More than 10 years,Professor,About half,4,1,2,4,2,1,1,2,2,3,2,2,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Important,Important,Important,Important,Important,Important,Important,In none of my papers,In all my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/06/2015 01:49,46 - 55,France,Italy,Yes,Europe,Male,Married,Masters,University,1 - 5 years,Assistant Professor,About half,3,2,3,4,3,1,2,2,2,2,2,3,Important,Slightly Important,Important,Very Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,In about two-third of my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,Never,Sometimes,Never,Most of the time
11/06/2015 01:54,46 - 55,Italy,Italy,No,Europe,Male,Married,Masters,University,More than 10 years,Professor,About two-third,3,1,2,3,3,3,3,3,1,2,2,2,Important,Slightly Important,Important,Important,Slightly Important,Slightly Important,Important,Important,Important,Very Important,Very Important,Slightly Important,Slightly Important,Very Important,In very few of my papers,In almost all my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/06/2015 02:17,35 - 45,Germany,Germany,No,Europe,Male,Single,PhD,University,6 - 10 years,,All papers,4,3,2,3,2,2,2,3,2,2,2,2,Very Important,Important,Important,Very Important,Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Important,In almost all my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes
11/06/2015 02:20,less than 35,USA,USA,No,North America,Male,Other,Masters,University,Less than 1 year,Post Doc,All papers,3,3,3,3,1,1,3,1,1,1,1,2,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Very Important,Slightly Important,Important,Important,Very Important,Very Important,Very Important,In almost all my papers,In none of my papers,In very few of my papers,Never,Never,Never,Never,Never,Never,Sometimes,Always
11/06/2015 02:27,less than 35,USA,USA,No,North America,Male,Married,Masters,University,1 - 5 years,Assistant Professor,Almost all papers,1,3,2,2,3,4,2,1,1,1,1,1,Very Important,Slightly Important,Important,Important,Very Important,Not Important,Very Important,Important,Slightly Important,Important,Important,Important,Slightly Important,Important,In about half of my papers,In none of my papers,In about half of my papers,Always,Sometimes,Sometimes,Never,Sometimes,Most of the time,Most of the time,Sometimes
11/06/2015 02:55,less than 35,Germany,Germany,No,Europe,Male,Married,Masters,University,1 - 5 years,Assistant Professor,Almost all papers,4,1,1,1,1,3,4,3,1,1,1,1,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,In none of my papers,In none of my papers,In all my papers,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never
11/06/2015 02:57,less than 35,Netherlands,Netherlands,No,Europe,Male,Married,Masters,University,1 - 5 years,Assistant Professor,Almost all papers,3,2,3,4,3,1,4,1,1,1,1,1,Not Important,Not Important,Not Important,Important,Very Important,Slightly Important,Very Important,Important,Slightly Important,Important,Slightly Important,Very Important,Slightly Important,Not Important,In almost all my papers,In very few of my papers,In none of my papers,Never,Never,Never,Sometimes,Never,Never,Most of the time,Sometimes
11/06/2015 03:30,35 - 45,USA,USA,No,North America,Male,Married,Masters,University,Less than 1 year,Professor,Almost all papers,4,2,3,3,2,2,2,2,2,1,1,2,Important,Slightly Important,Important,Slightly Important,Important,Slightly Important,Not Important,Important,Slightly Important,Slightly Important,Slightly Important,Important,Slightly Important,Not Important,In about one-third of my papers,In about two-third of my papers,In very few of my papers,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time
11/06/2015 03:33,56 and above,USA,USA,No,North America,Male,Married,Masters,University,1 - 5 years,Professor,About two-third,4,1,2,4,3,3,1,1,1,1,1,1,Important,Slightly Important,Important,Important,Slightly Important,Not Important,Important,Important,Slightly Important,Important,Important,Slightly Important,Slightly Important,Important,In very few of my papers,In none of my papers,In almost all my papers,Never,Never,Never,Never,Never,Sometimes,Never,Most of the time
11/06/2015 03:35,35 - 45,United Kingdom,Russia,Yes,Asia,Male,Married,Masters,University,1 - 5 years,Professor,Almost all papers,3,1,1,3,3,2,3,1,1,1,1,1,Very Important,Slightly Important,Very Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Important,Slightly Important,Important,Important,Important,Important,Slightly Important,In about half of my papers,In about half of my papers,In none of my papers,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes
11/06/2015 04:06,56 and above,Austria,Austria,No,Europe,Male,Married,Masters,University,More than 10 years,Professor,About one-third,3,1,3,2,2,4,1,3,2,3,3,3,Important,Slightly Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,In very few of my papers,In about two-third of my papers,In none of my papers,Never,Never,Never,Never,Never,Sometimes,Sometimes,Most of the time
11/06/2015 05:06,35 - 45,Israel,Israel,No,Asia,Female,Married,Masters,University,6 - 10 years,Senior Lecturer,Almost all papers,4,1,2,4,1,2,2,4,1,1,1,1,Very Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Not Important,Very Important,Very Important,Slightly Important,Important,Very Important,Very Important,Not Important,Very Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes
11/06/2015 05:15,35 - 45,Italy,Italy,No,Europe,Male,Single,Masters,University,1 - 5 years,Assistant Professor,About one-third,3,1,1,4,2,2,3,3,1,2,2,2,Very Important,Important,Important,Important,Very Important,Slightly Important,Slightly Important,Very Important,Important,Important,Important,Very Important,Slightly Important,Slightly Important,In none of my papers,In all my papers,In none of my papers,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time
11/06/2015 05:18,56 and above,USA,USA,No,North America,Male,Married,Masters,University,More than 10 years,Professor,Very few,3,2,1,2,2,2,1,2,1,1,1,1,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Important,Important,Important,Important,Important,Important,Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/06/2015 05:29,35 - 45,Germany,Germany,No,Europe,Male,Married,Masters,University,1 - 5 years,Post Doc,Almost all papers,4,3,4,4,4,3,3,4,2,4,3,4,Very Important,Slightly Important,Very Important,Very Important,Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Very Important,Very Important,Important,Important,Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Sometimes,Most of the time,Most of the time,Never,Sometimes
11/06/2015 06:22,less than 35,USA,USA,No,North America,Male,Married,Masters,University,1 - 5 years,Assistant Professor,All papers,4,4,4,4,4,2,3,2,3,3,2,3,Very Important,Very Important,Very Important,Very Important,Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Slightly Important,Very Important,In very few of my papers,In none of my papers,In almost all my papers,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
11/06/2015 06:26,56 and above,USA,USA,No,North America,Male,Married,Masters,University,More than 10 years,Professor,About one-third,3,1,2,3,3,2,2,3,1,1,2,3,Very Important,Important,Important,Important,Important,Important,Slightly Important,Important,Important,Important,Important,Important,Important,Very Important,In about one-third of my papers,In almost all my papers,In very few of my papers,Sometimes,Sometimes,Sometimes,Never,Most of the time,Sometimes,Sometimes,Sometimes
11/06/2015 06:37,35 - 45,USA,USA,No,North America,Male,Married,Masters,University,1 - 5 years,Assistant Professor,About half,3,3,3,2,1,1,3,1,1,1,1,2,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,In none of my papers,In almost all my papers,In very few of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/06/2015 06:56,35 - 45,United Kingdom,United Kingdom,No,Europe,Female,Other,Masters,University,1 - 5 years,Researcher/Scientist,All papers,4,2,1,2,1,2,2,2,1,4,1,1,Important,Slightly Important,Slightly Important,Very Important,Very Important,Not Important,Important,Important,Slightly Important,Not Important,Very Important,Very Important,Slightly Important,Slightly Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,Never,Sometimes,Sometimes,Most of the time
11/06/2015 07:36,35 - 45,Germany,USA,Yes,North America,Female,Single,Masters,University,1 - 5 years,,All papers,4,4,4,4,2,3,4,3,4,4,4,4,Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Slightly Important,Slightly Important,Not Important,Important,Slightly Important,Slightly Important,Slightly Important,In about half of my papers,In about half of my papers,In none of my papers,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
11/06/2015 07:39,46 - 55,Ukraine,Australia,Yes,Oceania,Male,Married,Masters,University,6 - 10 years,Assistant Professor,All papers,3,1,4,2,1,1,1,1,1,3,1,3,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
11/06/2015 09:15,less than 35,Singapore,Singapore,No,Asia,Male,Single,Masters,Research Institute,1 - 5 years,Researcher/Scientist,About two-third,2,1,1,4,2,3,2,3,2,2,2,2,Very Important,Important,Important,Important,Slightly Important,Slightly Important,Very Important,Important,Slightly Important,Important,Important,Important,Slightly Important,Important,In about half of my papers,In none of my papers,In about half of my papers,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes
11/06/2015 09:26,46 - 55,Portugal,Portugal,No,Europe,,Married,Masters,University,Less than 1 year,Senior Lecturer,All papers,4,2,4,4,2,1,3,3,2,4,4,4,Important,Slightly Important,Important,Very Important,Important,Slightly Important,Slightly Important,Important,Important,Important,Very Important,Important,Important,Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/06/2015 09:27,less than 35,India,Singapore,Yes,Asia,Male,Married,Masters,University,1 - 5 years,Lecturer,Almost all papers,4,2,1,4,3,1,4,4,1,1,1,3,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,In about two-third of my papers,In very few of my papers,In very few of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/06/2015 14:00,35 - 45,USA,USA,No,North America,Male,Married,Masters,University,6 - 10 years,Professor,Almost all papers,4,4,3,2,2,2,2,1,1,1,1,2,Important,Important,Important,Important,Important,Slightly Important,Important,Important,Important,Important,Important,Important,Slightly Important,Important,In very few of my papers,In almost all my papers,In all my papers,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes
11/06/2015 14:06,35 - 45,Romania,Romania,No,Europe,Female,Married,Masters,University,More than 10 years,Professor,Almost all papers,3,2,4,4,3,3,4,4,4,4,4,3,Very Important,Slightly Important,Important,Very Important,Very Important,Slightly Important,Slightly Important,Very Important,Important,Important,Important,Very Important,Important,Important,In about half of my papers,In about half of my papers,In none of my papers,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never
11/06/2015 14:14,35 - 45,USA,USA,No,North America,Male,Single,Masters,University,1 - 5 years,Associate Professor,Almost all papers,4,2,4,4,3,3,1,1,1,3,1,2,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,In about half of my papers,In about half of my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/06/2015 14:18,less than 35,India,India,No,Asia,Male,Married,Masters,University,1 - 5 years,Assistant Professor,Very few,2,3,2,3,3,3,3,4,3,2,3,3,Slightly Important,Important,Important,Important,Important,Important,Very Important,Important,Important,Important,Important,Important,Important,Important,In very few of my papers,In none of my papers,In none of my papers,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time
11/06/2015 14:51,35 - 45,Poland,Poland,No,Europe,Male,Married,Masters,University,More than 10 years,Assistant Professor,About one-third,4,4,4,3,3,2,4,4,2,3,4,4,Important,Important,Important,Very Important,Important,Important,Very Important,Important,Important,Important,Very Important,Important,Important,Very Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Most of the time,Never,Never,Never,Most of the time
11/06/2015 14:52,less than 35,China,USA,Yes,North America,Male,Single,Masters,University,1 - 5 years,,All papers,2,2,2,4,1,3,2,3,1,4,3,4,Important,Slightly Important,Important,Very Important,Slightly Important,Very Important,Slightly Important,Important,Slightly Important,Important,Important,Important,Slightly Important,Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/06/2015 15:00,35 - 45,Spain,Spain,No,Europe,Male,Single,Masters,University,More than 10 years,Associate Professor,Almost all papers,4,4,3,2,1,1,1,2,4,1,4,4,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Important,Not Important,Not Important,Not Important,Very Important,Not Important,Slightly Important,In all my papers,In none of my papers,In none of my papers,Most of the time,Never,Never,Most of the time,Never,Never,Sometimes,Always
11/06/2015 15:08,46 - 55,Spain,Spain,No,Europe,Male,Married,Masters,University,More than 10 years,Professor,Almost all papers,3,2,4,4,3,3,1,3,3,4,3,4,Very Important,Important,Important,Very Important,Very Important,Important,Important,Important,Important,Very Important,Important,Important,Important,Important,In very few of my papers,In almost all my papers,In about one-third of my papers,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time
11/06/2015 15:09,35 - 45,Brazil,USA,Yes,North America,Male,Married,Masters,University,Less than 1 year,Assistant Professor,Almost all papers,3,3,2,4,2,1,4,1,1,2,1,2,Important,Not Important,Not Important,Slightly Important,Very Important,Important,Not Important,Important,Important,Very Important,Slightly Important,Important,Slightly Important,Very Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Most of the time,Sometimes,Never,Sometimes,Sometimes
11/06/2015 15:11,35 - 45,Hungary,Hungary,No,Europe,Male,Married,Masters,University,6 - 10 years,Assistant Professor,Very few,3,2,2,1,2,1,1,2,2,3,3,2,Slightly Important,Slightly Important,Important,Not Important,Slightly Important,Slightly Important,Important,Slightly Important,Important,Important,Not Important,Slightly Important,Important,Important,In very few of my papers,In about one-third of my papers,In very few of my papers,Most of the time,Sometimes,Never,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes
11/06/2015 15:14,46 - 55,Italy,Italy,No,Europe,Female,Married,Masters,University,More than 10 years,Associate Professor,Almost all papers,3,2,2,4,3,3,3,3,2,2,3,3,Slightly Important,Important,Important,Very Important,Slightly Important,Important,Very Important,Important,Slightly Important,Important,Very Important,Slightly Important,Slightly Important,Very Important,In none of my papers,In all my papers,In all my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/06/2015 15:19,less than 35,France,,No,Europe,Male,Married,Masters,University,1 - 5 years,Lecturer,About half,3,3,4,2,1,1,1,1,2,3,2,1,Important,Not Important,Slightly Important,Important,Important,Important,Slightly Important,Very Important,Very Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Very Important,In almost all my papers,In very few of my papers,In none of my papers,Most of the time,Never,Never,Sometimes,Most of the time,Never,Never,Most of the time
11/06/2015 15:45,35 - 45,Netherlands,United Kingdom,Yes,Europe,Male,Married,Masters,University,1 - 5 years,Professor,About two-third,3,3,3,3,2,3,2,2,3,3,2,2,Important,Slightly Important,Important,Very Important,Very Important,Slightly Important,Important,Important,Important,Important,Important,Important,Important,Important,In very few of my papers,In very few of my papers,In almost all my papers,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Never
11/06/2015 15:53,46 - 55,Spain,Spain,No,Europe,Male,Married,Masters,University,More than 10 years,Professor,About half,4,3,4,3,2,3,3,2,2,3,3,3,Important,Slightly Important,Important,Very Important,Important,Slightly Important,Very Important,Important,Important,Important,Important,Important,Important,Important,In about half of my papers,In about half of my papers,In none of my papers,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes
11/06/2015 15:56,35 - 45,United Kingdom,United Kingdom,No,Europe,Male,Married,Masters,University,6 - 10 years,Other,Almost all papers,3,1,2,3,3,1,4,4,1,3,2,1,Slightly Important,Not Important,Slightly Important,Not Important,Very Important,Important,Slightly Important,Important,Not Important,Not Important,Slightly Important,Important,Important,Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/06/2015 16:08,35 - 45,Belgium,USA,Yes,North America,Male,Married,Masters,Research Institute,1 - 5 years,Researcher/Scientist,About one-third,1,1,3,1,1,3,1,2,4,2,3,1,Important,Very Important,Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Important,Important,Very Important,Very Important,Very Important,Important,Important,In almost all my papers,In very few of my papers,In very few of my papers,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never
11/06/2015 16:11,35 - 45,Slovenia,Slovenia,No,Europe,Female,Married,Masters,University,More than 10 years,Assistant Professor,Almost all papers,4,3,4,4,3,3,2,3,2,4,3,4,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,In about two-third of my papers,In about one-third of my papers,In none of my papers,Most of the time,Never,Never,Sometimes,Sometimes,Sometimes,Most of the time,Never
11/06/2015 16:14,35 - 45,Greece,Greece,No,Europe,Male,Married,Masters,University,1 - 5 years,Assistant Professor,All papers,3,4,3,4,2,3,3,3,1,4,4,4,Very Important,Slightly Important,Important,Very Important,Very Important,Slightly Important,Important,Important,Important,Important,Important,Important,Important,Important,In all my papers,In none of my papers,In none of my papers,Most of the time,Never,Never,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes
11/06/2015 16:15,35 - 45,,Norway,No,Europe,Male,Married,Masters,University,1 - 5 years,Professor,About two-third,4,2,3,3,3,4,4,4,2,4,3,3,Important,Slightly Important,Important,Very Important,Very Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Slightly Important,Slightly Important,In about one-third of my papers,In about one-third of my papers,In about one-third of my papers,Never,Never,Never,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes
11/06/2015 16:19,46 - 55,Belgium,Belgium,No,Europe,Male,Other,Masters,University,More than 10 years,Professor,About half,4,2,3,4,4,2,1,4,2,3,4,1,Very Important,Not Important,Slightly Important,,Very Important,Slightly Important,Very Important,Very Important,Not Important,Not Important,Important,Very Important,Important,Very Important,In about one-third of my papers,In about two-third of my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Sometimes
11/06/2015 16:23,56 and above,France,France,No,Europe,Female,Married,Masters,Research Institute,More than 10 years,,About two-third,3,1,2,3,1,1,1,1,1,2,2,2,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Slightly Important,Important,Important,Important,Important,Important,In none of my papers,In very few of my papers,In almost all my papers,Never,Never,Never,Never,Most of the time,Sometimes,Sometimes,Most of the time
11/06/2015 16:24,35 - 45,Germany,Germany,No,Europe,Male,Single,Masters,University,1 - 5 years,Assistant Professor,About two-third,3,2,3,4,2,3,4,2,3,2,3,3,Very Important,Not Important,Slightly Important,Important,Very Important,Not Important,Important,Important,Not Important,Very Important,Slightly Important,Very Important,Slightly Important,Important,In about two-third of my papers,In very few of my papers,In very few of my papers,Most of the time,Never,Never,Sometimes,Sometimes,Sometimes,Most of the time,Never
11/06/2015 16:31,56 and above,United Kingdom,United Kingdom,No,Europe,Male,Married,Masters,University,More than 10 years,Professor,About two-third,3,1,1,4,1,3,2,2,1,4,3,2,Very Important,Slightly Important,Important,Important,Important,Slightly Important,Very Important,Important,Not Important,Important,Important,Important,Slightly Important,Important,In very few of my papers,In very few of my papers,In almost all my papers,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes
11/06/2015 16:48,56 and above,Netherlands,Netherlands,No,Europe,Male,Single,Masters,University,More than 10 years,Professor,About two-third,3,3,3,3,2,3,1,2,1,3,1,2,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,In all my papers,In none of my papers,In none of my papers,Sometimes,Never,Never,Never,Sometimes,Most of the time,Most of the time,Never
